94,100,86
88,96,76
103,123,102
92,124,95
100,129,99
103,132,100
92,122,92
78,113,83
75,110,77
69,109,74
63,106,71
63,108,70
65,103,72
69,107,81
69,103,81
74,97,83
83,103,95
82,104,95
79,103,85
79,101,80
81,106,77
77,102,71
87,114,74
111,136,101
145,158,126
156,163,133
179,182,156
157,167,140
162,166,145
168,165,149
122,137,117
121,132,116
99,115,101
114,100,98
111,98,96
112,100,99
113,102,100
86,96,78
86,96,78
48,102,67
48,102,67
48,103,66
48,103,66
49,104,67
50,104,67
50,104,67
51,104,67
51,104,67
52,105,67
52,105,67
52,105,67
53,105,67
53,105,67
55,105,68
81,124,91
87,127,95
173,176,160
169,172,156
166,158,146
151,143,128
154,147,131
162,155,142
165,156,143
175,167,154
178,169,157
187,179,168
118,132,107
125,139,115
90,125,94
75,123,88
53,105,66
52,104,64
52,104,64
54,104,64
53,104,64
55,105,64
55,105,64
56,105,64
56,105,64
59,106,65
91,129,94
97,133,99
173,173,157
170,171,154
166,158,146
151,143,128
154,147,131
163,155,142
165,156,143
176,167,154
178,169,157
188,179,168
122,130,120
125,132,122
106,141,146
95,142,150
131,167,178
82,134,143
81,132,141
87,137,145
88,136,146
74,128,138
74,128,138
74,128,138
74,128,138
77,128,135
85,138,150
82,133,141
76,132,144
75,128,136
83,136,146
86,135,142
87,137,147
89,137,145
90,138,147
93,138,146
93,139,148
99,142,150
99,143,153
104,145,153
104,145,155
114,150,159
112,151,162
155,176,176
154,176,177
143,167,171
142,169,176
135,164,172
147,172,179
124,155,159
121,152,159
181,192,191
141,166,174
143,167,174
135,162,167
136,162,167
133,162,172
133,162,171
119,152,161
120,152,161
114,148,156
93,129,89
94,129,89
94,129,89
94,129,89
94,129,90
94,129,90
94,129,89
94,129,90
94,129,89
94,129,90
94,129,89
94,129,90
94,129,90
95,129,90
94,129,90
95,129,90
94,128,90
95,128,90
94,128,90
94,128,90
94,128,90
94,128,90
94,128,90
94,128,90
94,128,90
94,127,90
94,127,90
94,127,90
94,127,90
94,127,90
94,127,90
95,127,90
94,127,90
95,127,90
94,126,90
95,127,90
95,126,90
95,126,90
94,126,90
95,126,90
94,126,90
94,126,90
94,126,89
94,127,90
94,127,90
123,108,124
123,108,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,124
123,107,125
123,107,125
123,107,125
